"Order Item Id",id,"Product Name","Product Category Id","Product Category Name","Department Id","Department Name"
TK51561,91,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK122319,92,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK48340,93,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK60332,94,"Under Armour Women's Micro G Skulpt Running S",12,"Boxing & MMA",3,Footwear
TK59461,95,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK60332,96,"Glove It Women's Mod Oval Golf Glove",36,"Golf Balls",6,Outdoors
MC168802,97,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK89644,98,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK56358,99,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC29946,100,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
CR133467,101,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK61128,102,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC168802,103,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC174298,104,"Industrial consumer electronics",65,"Consumer Electronics",10,Technology
TK131025,105,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK112832,106,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR31785,107,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC40946,108,"Under Armour Women's Micro G Skulpt Running S",12,"Boxing & MMA",3,Footwear
TK77528,109,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR31785,110,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC149906,111,"GolfBuddy VT3 GPS Watch",38,"Kids' Golf Clubs",6,Outdoors
TK112832,112,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC179000,113,"Adult dog supplies",72,"Pet Supplies",11,"Pet Shop"
MC179079,114,"Smart watch ",73,"Sporting Goods",2,Fitness
TK58702,115,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
MC179072,116,"Smart watch ",73,"Sporting Goods",2,Fitness
MC176534,117,"Smart watch ",73,"Sporting Goods",2,Fitness
TK51503,118,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
TK112832,119,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK112832,120,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK50330,121,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC173226,122,"Web Camera",62,"Cameras ",10,Technology
CR176485,123,"Smart watch ",73,"Sporting Goods",2,Fitness
MC34166,124,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR176478,125,"Smart watch ",73,"Sporting Goods",2,Fitness
MC32808,126,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK48587,127,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK123904,128,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC33072,129,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK123904,130,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK124607,131,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK86748,132,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC34166,133,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
MC37625,134,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR131628,135,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR160004,136,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK50330,137,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
TK128918,138,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR31785,139,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
TK57218,140,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK57218,141,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK50330,142,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK50330,143,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK108765,144,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK57218,145,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK108765,146,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR31785,147,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK87426,148,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR30821,149,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK57218,150,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK68118,151,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK87426,152,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC168013,153,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR35091,154,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC32840,155,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR35091,156,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK57218,157,"Hirzl Women's Soffft Flex Golf Glove",36,"Golf Balls",6,Outdoors
MC39032,158,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK110081,159,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK110081,160,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK110081,161,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
TK88696,162,"Bridgestone e6 Straight Distance NFL Carolina",37,Electronics,6,Outdoors
TK48326,163,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC158389,164,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR155782,165,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC173757,166,"Children's heaters",63,"Children's Clothing",4,Apparel
MC43489,167,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC39032,168,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR28992,169,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK47568,170,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC158121,171,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
MC162921,172,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK45411,173,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC155727,174,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC21759,175,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC26627,176,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC158359,177,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK47568,178,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC39032,179,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK117704,180,"Team Golf Pittsburgh Steelers Putter Grip",40,Accessories,6,Outdoors
MC168013,181,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK62544,182,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR35091,183,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
TK68686,184,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC26627,185,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
TK51877,186,"adidas Men's F10 Messi TRX FG Soccer Cleat",3,"Baseball & Softball",2,Fitness
MC32840,187,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
CR34052,188,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
CR37267,189,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
MC174706,190,"DVDs ",67,DVDs,9,"Discs Shop"
TK58068,191,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK51877,192,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK69688,193,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR153271,194,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK124214,195,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
CR178084,196,"Porcelain crafts",66,Crafts,4,Apparel
CR153271,197,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK109829,198,"Under Armour Hustle Storm Medium Duffle Bag",11,"Fitness Accessories",3,Footwear
MC178281,199,"Porcelain crafts",66,Crafts,4,Apparel
CR34052,200,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
CR140784,201,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK114861,202,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK104041,203,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR140784,204,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK93518,205,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC134567,206,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK69828,207,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC26627,208,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
TK85966,209,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
MC177445,210,"Baby sweater",60,"Baby ",4,Apparel
MC175136,211,"Lawn mower",68,Garden,6,Outdoors
CR34052,212,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
MC175224,213,"Lawn mower",68,Garden,6,Outdoors
TK73060,214,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK130598,215,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC175878,216,"Rock music",71,Music,9,"Discs Shop"
MC18049,217,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
MC145064,218,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK109829,219,"Nike Women's Tempo Shorts",9,"Cardio Equipment",3,Footwear
TK94402,220,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC18469,221,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK88696,222,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC146089,223,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
TK84987,224,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK90175,225,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK72527,226,"Team Golf Pittsburgh Steelers Putter Grip",40,Accessories,6,Outdoors
TK93518,227,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC18049,228,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
CR162219,229,"Nike Men's Free TR 5.0 TB Training Shoe",16,"As Seen on  TV!",3,Footwear
TK91229,230,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR135423,231,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
TK81513,232,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
CR155782,233,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR40687,234,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR28992,235,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK114948,236,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
CR17716,237,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
CR2011,238,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK114695,239,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC134567,240,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
MC150722,241,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK126499,242,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK63963,243,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK126499,244,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK84987,245,"adidas Kids' F5 Messi FG Soccer Cleat",3,"Baseball & Softball",2,Fitness
TK45545,246,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC150722,247,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
CR28992,248,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR170031,249,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK112418,250,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR37428,251,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
TK58068,252,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
MC16127,253,"Field & Stream Sportsman 16 Gun Fire Safe",45,Fishing,7,"Fan Shop"
TK91229,254,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR155782,255,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK62693,256,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK73253,257,"Nike Women's Tempo Shorts",9,"Cardio Equipment",3,Footwear
TK91229,258,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
MC176406,259,"Smart watch ",73,"Sporting Goods",2,Fitness
TK116620,260,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK113005,261,"Nike Dri-FIT Crew Sock 6 Pack",7,Hockey,2,Fitness
TK62693,262,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK90607,263,"Nike Dri-FIT Crew Sock 6 Pack",7,Hockey,2,Fitness
TK77829,264,"Titleist Pro V1x High Numbers Personalized Go",37,Electronics,6,Outdoors
TK105326,265,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK91823,266,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK84987,267,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK85793,268,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
TK105326,269,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK74532,270,"Nike Dri-FIT Crew Sock 6 Pack",7,Hockey,2,Fitness
TK84987,271,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK54942,272,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK71782,273,"Nike Dri-FIT Crew Sock 6 Pack",7,Hockey,2,Fitness
MC158389,274,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR15760,275,"Nike Dri-FIT Crew Sock 6 Pack",7,Hockey,2,Fitness
MC158359,276,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK85793,277,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR9682,278,"Nike Dri-FIT Crew Sock 6 Pack",7,Hockey,2,Fitness
CR40687,279,"Team Golf St. Louis Cardinals Putter Grip",40,Accessories,6,Outdoors
MC6780,280,"Nike Dri-FIT Crew Sock 6 Pack",7,Hockey,2,Fitness
CR17716,281,"Nike Men's Free 5.0+ Running Shoe",9,"Cardio Equipment",3,Footwear
TK125638,282,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK62544,283,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK53411,284,"Bridgestone e6 Straight Distance NFL Tennesse",37,Electronics,6,Outdoors
TK86079,285,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK81629,286,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK85915,287,"Nike Men's CJ Elite 2 TD Football Cleat",18,"Men's Footwear",4,Apparel
CR153271,288,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
CR142021,289,"Nike Women's Legend V-Neck T-Shirt",7,Hockey,2,Fitness
TK81629,290,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
TK80766,291,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
TK110081,292,"Perfect Fitness Perfect Rip Deck",17,Cleats,4,Apparel
TK125913,293,"Nike Women's Legend V-Neck T-Shirt",7,Hockey,2,Fitness
TK82504,294,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC158359,295,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK120828,296,"Nike Women's Legend V-Neck T-Shirt",7,Hockey,2,Fitness
CR40687,297,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK69828,298,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
TK58734,299,"Diamondback Women's Serene Classic Comfort Bi",43,"Camping & Hiking",7,"Fan Shop"
TK99195,300,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
TK63963,301,"Nike Men's Dri-FIT Victory Golf Polo",24,"Women's Apparel",5,Golf
MC158359,302,"Under Armour Girls' Toddler Spine Surge Runni",29,"Shop By Sport",5,Golf
